2013-M09,"	7.5",Fall,"	28643.0",7181,2744
2013-M10,"	7.3",Fall,"	28919.0",7210,2745
2013-M11,"	7.2",Fall,"	29993.0",7979,2951
2013-M12,"	7.0",Winter,"	28976.0",7312,2690
2014-M01,"	6.9",Winter,"	29260.0",7421,2750
2014-M02,"	6.8",Winter,"	30000.0",7801,2859
2014-M03,"	6.7",Spring,"	29685.0",7573,2731
2014-M04,"	6.6",Spring,"	29957.0",7624,2746
2014-M05,"	6.5",Spring,"	30214.0",7591,2777
2014-M06,"	6.3",Summer,"	30441.0",7557,2804
2014-M07,"	6.2",Summer,"	30841.0",7593,2863
2014-M08,"	6.1",Summer,"	31178.0",7599,2954
2014-M09,"	6.0",Fall,"	31739.0",7733,3014
2014-M10,"	5.9",Fall,"	32454.0",7887,3081
2014-M11,"	5.9",Fall,"	33074.0",8027,3144
2014-M12,"	5.8",Winter,"	33418.0",8143,3157
2015-M01,"	5.7",Winter,"	33556.0",8364,3167
2015-M02,"	5.7",Winter,"	33218.0",8283,3067
2015-M03,"	5.6",Spring,"	33091.0",8344,3090
2015-M04,"	5.5",Spring,"	33274.0",8637,3218
2015-M05,"	5.4",Spring,"	33149.0",8587,3226
2015-M06,"	5.3",Summer,"	33069.0",8647,3282
2015-M07,"	5.2",Summer,"	33009.0",8624,3347
2015-M08,"	5.1",Summer,"	33274.0",8652,3431
2015-M09,"	5.0",Fall,"	33637.0",8757,3492
2015-M10,"	5.0",Fall,"	33962.0",8920,3556
2015-M11,"	4.9",Fall,"	34307.0",9109,3579
2015-M12,"	4.9",Winter,"	34450.0",9193,3587
2016-M01,"	4.9",Winter,"	34733.0",9326,3616
2016-M02,"	4.9",Winter,"	34903.0",9449,3617
2016-M03,"	4.8",Spring,"	34946.0",9511,3653
2016-M04,"	4.8",Spring,"	35036.0",9443,3686
2016-M05,"	4.8",Spring,"	35139.0",9395,3717
2016-M06,"	4.9",Summer,"	35148.0",9315,3738
2016-M07,"	4.9",Summer,"	35253.0",9207,3727
2016-M08,"	4.9",Summer,"	35733.0",9239,3745
2016-M09,"	4.9",Fall,"	36034.0",9291,3791
2016-M10,"	4.9",Fall,"	36371.0",9441,3877
2016-M11,"	4.9",Fall,"	36755.0",9599,3872
2016-M12,"	4.8",Winter,"	36787.0",9683,3833
2017-M01,"	4.6",Winter,"	36793.0",9853,3785
2017-M02,"	4.4",Winter,"	36811.0",9975,3819
2017-M03,"	4.3",Spring,"	36643.0",10060,3823
2017-M04,"	4.3",Spring,"	36439.0",10128,3817
2017-M05,"	4.4",Spring,"	36334.0",10173,3820
2017-M06,"	4.5",Summer,"	36153.0",10156,3803
2017-M07,"	4.7",Summer,"	36177.0",10105,3852
2017-M08,"	4.8",Summer,"	36552.0",10191,3920
2017-M09,"	4.9",Fall,"	36947.0",10226,3963
